"StartDate","EndDate","Status","Progress","Duration (in seconds)","Finished","RecordedDate","ResponseId","UserLanguage","sound1","sound2","Consent Form Read","Agreement","Age Confirmation","Current Mood_1","Current Mood_2","Current Mood_3","Current Mood_4","Current Mood_5","Current Mood_6","Current Mood_7","Current Mood_8","Current Mood_9","Current Mood_10","Current Mood_11","Current Mood_12","Current Mood_13","Current Mood_14","Current Mood_15","Current Mood_16","Current Mood_17","Current Mood_18","Current Mood_19","Current Mood_20","C1timer_First Click","C1timer_Last Click","C1timer_Page Submit","C1timer_Click Count","C2timer_First Click","C2timer_Last Click","C2timer_Page Submit","C2timer_Click Count","C3timer_First Click","C3timer_Last Click","C3timer_Page Submit","C3timer_Click Count","C4timer_First Click","C4timer_Last Click","C4timer_Page Submit","C4timer_Click Count","C5timer_First Click","C5timer_Last Click","C5timer_Page Submit","C5timer_Click Count","C6timer_First Click","C6timer_Last Click","C6timer_Page Submit","C6timer_Click Count","N1timer_First Click","N1timer_Last Click","N1timer_Page Submit","N1timer_Click Count","N2timer_First Click","N2timer_Last Click","N2timer_Page Submit","N2timer_Click Count","N3timer_First Click","N3timer_Last Click","N3timer_Page Submit","N3timer_Click Count","N4timer_First Click","N4timer_Last Click","N4timer_Page Submit","N4timer_Click Count","N5timer_First Click","N5timer_Last Click","N5timer_Page Submit","N5timer_Click Count","N6timer_First Click","N6timer_Last Click","N6timer_Page Submit","N6timer_Click Count","I1timer_First Click","I1timer_Last Click","I1timer_Page Submit","I1timer_Click Count","I2timer_First Click","I2timer_Last Click","I2timer_Page Submit","I2timer_Click Count","I3timer_First Click","I3timer_Last Click","I3timer_Page Submit","I3timer_Click Count","I4timer_First Click","I4timer_Last Click","I4timer_Page Submit","I4timer_Click Count","I5timer_First Click","I5timer_Last Click","I5timer_Page Submit","I5timer_Click Count","I6timer_First Click","I6timer_Last Click","I6timer_Page Submit","I6timer_Click Count","ID1timer_First Click","ID1timer_Last Click","ID1timer_Page Submit","ID1timer_Click Count","ID2timer_First Click","ID2timer_Last Click","ID2timer_Page Submit","ID2timer_Click Count","ID3timer_First Click","ID3timer_Last Click","ID3timer_Page Submit","ID3timer_Click Count","ID4timer_First Click","ID4timer_Last Click","ID4timer_Page Submit","ID4timer_Click Count","ID5timer_First Click","ID5timer_Last Click","ID5timer_Page Submit","ID5timer_Click Count","ID6timer_First Click","ID6timer_Last Click","ID6timer_Page Submit","ID6timer_Click Count","Open-ended Question","Attention Check1","ON_1","ON_2","ON_3","ON_4","ON_5","ON_6","ON_7","ON_8","ON_9","ON_10","ON_11","ON_12","ON_13","ON_14","ON_15","SAC_1","SAC_2","SAC_3","SAC_4","SAC_5","SAC_6","TII_1","TII_2","TII_3","TII_4","Attention Check2","BD_1","BD_2","BD_3","BD_4","BD_5","BD_6","BD_7","BD_8","BD_9","BD_10","BD_11","BD_12","BD_13","BD_14","BD_15","BD_16","Self-esteem_1","Self-esteem_2","Self-esteem_3","Self-esteem_4","Self-esteem_5","Self-esteem_6","Self-esteem_7","Self-esteem_8","Self-esteem_9","Self-esteem_10","Excessive Exercise_1","Excessive Exercise_2","Excessive Exercise_3","Excessive Exercise_4","Excessive Exercise_5","Excessive Exercise_6","Excessive Exercise_7","Excessive Exercise_8","Excessive Exercise_9","Excessive Exercise_10","Excessive Exercise_11","Excessive Exercise_12","Excessive Exercise_13","Excessive Exercise_14","Excessive Exercise_15","Excessive Exercise_16","M-TI_1","M-TI_2","M-TI_3","M-TI_4","M-TI_5","M-TI_6","M-TI_7","M-TI_8","M-TI_9","M-TI_10","M-FT_1","M-FT_2","M-FT_3","M-FT_4","M-FT_5","M-FT_6","M-FT_7","M-WLB_1","M-WLB_2","M-WLB_3","M-WLB_4","M-WLB_5","M-WLB_6","M-WLB_7","M-WLB_8","M-WLB_9","M-WLB_10","View","View-frequency","Follow","Create","Create-fequencey","Help received","Recent help","AI","race/ethnicity","race/ethnicity_7_TEXT","religion","religion_8_TEXT","language","language_7_TEXT","Marital Status","Income","Education","Gender","Age"
"2025-10-28 11:30:46","2025-10-28 11:40:41","IP Address","100","594","True","2025-10-28 11:40:41",1,"EN","California","","I have read and understood the consent form.","I agree to participate in this study","I confirm I am 18 years old or older","Moderately","Very slightly or not at all","A little","Very slightly or not at all","Moderately","Very slightly or not at all","Very slightly or not at all","Very slightly or not at all","Moderately","A little","Very slightly or not at all","Quite a bit","Very slightly or not at all","A little","Very slightly or not at all","Moderately","Extremely","Very slightly or not at all","Quite a bit","Very slightly or not at all","","","","","","","","","","","","","","","","","","","","","","","","","0.723","0.723","30.377","1","0.492","0.492","30.273","1","1.102","1.102","24.217","1","1.577","25.597","25.882","2","0.532","38.437","50.453","2","0.503","0.503","42.738","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Young women","Neither agree nor disagree","Strongly disagree","Somewhat disagree","Strongly disagree","Somewhat agree","Somewhat agree","Strongly disagree","Strongly disagree","Strongly agree","Neither agree nor disagree","Somewhat agree","Strongly disagree","Strongly agree","Somewhat disagree","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat disagree","Strongly disagree","Somewhat disagree","Somewhat disagree","Strongly disagree","Strongly disagree","Somewhat disagree","Strongly disagree","Dog","Strongly disagree","Somewhat disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Somewhat disagree","Strongly disagree","Strongly agree","Strongly disagree","Somewhat agree","Somewhat disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Somewhat agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Strongly agree","Strongly disagree","Somewhat disagree","Strongly disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Somewhat disagree","Strongly agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Always","Always","Sometimes","Always","Sometimes","Often","Sometimes","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat disagree","Strongly disagree","Strongly disagree","Strongly disagree","Yes","Once in a few days","No","No","","Yes","More than a year ago","Definitely created by a real human","Asian,Caucasian or White","","Atheist","","English","","Never married","Less than $12,000","Bachelor's degree","Woman (including Trans Female/Trans Woman)","24"
"2025-10-28 11:26:38","2025-10-28 11:41:18","IP Address","100","879","True","2025-10-28 11:41:18",2,"EN","California","","I have read and understood the consent form.","I agree to participate in this study","I confirm I am 18 years old or older","Extremely","Very slightly or not at all","Extremely","Very slightly or not at all","Quite a bit","Very slightly or not at all","Very slightly or not at all","Very slightly or not at all","Quite a bit","Extremely","Very slightly or not at all","Quite a bit","Very slightly or not at all","Extremely","Very slightly or not at all","Extremely","Extremely","Very slightly or not at all","Quite a bit","Very slightly or not at all","0","0","38.557","0","0","0","30.201","0","0","0","46.957","0","0","0","37.21","0","0","0","27.512","0","0","0","49.311","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Young women","Strongly agree","Somewhat disagree","Strongly disagree","Somewhat agree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Dog","Somewhat disagree","Strongly disagree","Strongly disagree","Somewhat disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat disagree","Somewhat disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Neither agree nor disagree","Strongly disagree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Strongly disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Never","Never","Never","Never","Never","Never","Sometimes","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","No","","","No","","No","","Definitely created by a real human","Black or African American","","Catholicism/Christianity","","English","","Married","$36,000 or more","Master's degree","Woman (including Trans Female/Trans Woman)","25"
"2025-10-28 11:37:11","2025-10-28 11:47:51","IP Address","100","639","True","2025-10-28 11:47:51",3,"EN","California","","I have read and understood the consent form.","I agree to participate in this study","I confirm I am 18 years old or older","A little","Very slightly or not at all","A little","A little","Moderately","Very slightly or not at all","A little","Very slightly or not at all","Moderately","Moderately","A little","Moderately","Very slightly or not at all","A little","Quite a bit","Moderately","Moderately","Quite a bit","Moderately","A little","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.23","36.23","37.418","1","34.249","34.249","35.587","1","33.586","33.586","34.396","1","35.31","35.31","36.166","1","21.608","21.608","27.791","1","26.22","31.996","34.496","2","","","","","","","","","","","","","","","","","","","","","","","","","","Young women","Strongly disagree","Strongly disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Strongly disagree","Strongly agree","Neither agree nor disagree","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Strongly disagree","Somewhat disagree","Strongly disagree","Strongly disagree","Strongly disagree","Dog","Strongly disagree","Somewhat agree","Strongly disagree","Somewhat disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Strongly agree","Strongly agree","Somewhat disagree","Somewhat agree","Strongly disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat disagree","Somewhat agree","Strongly disagree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat disagree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Often","Often","Often","Often","Always","Often","Often","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Strongly disagree","Somewhat agree","Somewhat agree","Yes","Once in a week","Yes","No","","No","","Definitely created using AI","Caucasian or White","","Hinduism","","English","","Never married","Less than $12,000","Some college, no degree","Woman (including Trans Female/Trans Woman)","22"
"2025-10-28 11:33:10","2025-10-28 11:47:55","IP Address","100","885","True","2025-10-28 11:47:55",4,"EN","California","","I have read and understood the consent form.","I agree to participate in this study","I confirm I am 18 years old or older","Moderately","Very slightly or not at all","Very slightly or not at all","Very slightly or not at all","Moderately","A little","Very slightly or not at all","Very slightly or not at all","Very slightly or not at all","Very slightly or not at all","Very slightly or not at all","Moderately","Very slightly or not at all","Very slightly or not at all","A little","A little","Moderately","Very slightly or not at all","Very slightly or not at all","Very slightly or not at all","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.708","37.915","40.135","5","2.148","34.736","35.539","4","2.425","34.291","36.394","7","3.524","34.055","34.738","2","13.36","13.36","31.737","1","0.958","33.556","34.128","2","Many people consider them treats so it might make people happy to indulge in a food they don't normally eat excessively. Being able to eat good food is an important part of exploration and living a full life.","Young women","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Dog","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Often","Sometimes","Rarely","Often","Rarely","Often","Never","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Strongly disagree","Strongly disagree","Strongly disagree","Yes","Once in a few days","Yes","No","","No","","Definitely created using AI","Asian","","Agnostic","","English","","Never married","$24,000 - $35,999","Bachelor's degree","Woman (including Trans Female/Trans Woman)","24"
"2025-10-28 11:26:25","2025-10-28 11:48:25","IP Address","100","1320","True","2025-10-28 11:48:26",5,"EN","California","","I have read and understood the consent form.","I agree to participate in this study","I confirm I am 18 years old or older","Extremely","Very slightly or not at all","A little","Very slightly or not at all","Extremely","Very slightly or not at all","Very slightly or not at all","Very slightly or not at all","Very slightly or not at all","Quite a bit","Very slightly or not at all","Extremely","Very slightly or not at all","Extremely","Very slightly or not at all","Extremely","Extremely","Very slightly or not at all","Extremely","Very slightly or not at all","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.183","11.183","66.357","1","2.504","52.461","54.008","3","2.916","39.874","40.681","2","2.61","42.375","43.734","2","3.399","58.033","65.541","2","4.754","36.568","78.394","2","","","","","","","","","","","","","","","","","","","","","","","","","","Young women","Neither agree nor disagree","Strongly disagree","Strongly disagree","Somewhat disagree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly disagree","Somewhat agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Dog","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Sometimes","Sometimes","Often","Often","Often","Often","Never","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly disagree","Strongly disagree","Strongly disagree","No","","","No","","No","","Probably created using AI","Black or African American","","Catholicism/Christianity","","English","","Married","$36,000 or more","Bachelor's degree","Woman (including Trans Female/Trans Woman)","24"
"2025-10-28 11:44:43","2025-10-28 11:54:49","IP Address","100","605","True","2025-10-28 11:54:49",6,"EN","California","","I have read and understood the consent form.","I agree to participate in this study","I confirm I am 18 years old or older","Quite a bit","Very slightly or not at all","Quite a bit","Very slightly or not at all","A little","Very slightly or not at all","Very slightly or not at all","Very slightly or not at all","Quite a bit","Moderately","A little","Extremely","Very slightly or not at all","Moderately","Moderately","Extremely","Extremely","Moderately","Extremely","Very slightly or not at all","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","50.615","0","0","0","45.514","0","0","0","89.081","0","0","0","46.241","0","0","0","26.032","0","1.169","1.169","36.491","1","","","","","","","","","","","","","","","","","","","","","","","","","","Young women","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly disagree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Dog","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat agree","Strongly disagree","Strongly disagree","Somewhat agree","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Neither agree nor disagree","Somewhat agree","Strongly disagree","Strongly disagree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Rarely","Often","Sometimes","Often","Never","Never","Never","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Yes","Everyday","No","No","","No","","Definitely created using AI","Asian,Native Hawaiian or Pacific Islander","","Atheist","","English","","Never married","$36,000 or more","Bachelor's degree","Woman (including Trans Female/Trans Woman)","22"
"2025-10-28 11:29:57","2025-10-28 11:55:40","IP Address","100","1542","True","2025-10-28 11:55:41",7,"EN","California","","I have read and understood the consent form.","I agree to participate in this study","I confirm I am 18 years old or older","Extremely","Moderately","Quite a bit","Very slightly or not at all","Quite a bit","Very slightly or not at all","Very slightly or not at all","Very slightly or not at all","Quite a bit","Moderately","A little","Moderately","Very slightly or not at all","Quite a bit","Very slightly or not at all","Quite a bit","Quite a bit","A little","Extremely","Very slightly or not at all","0","0","222.553","0","0","0","29.363","0","0","0","44.603","0","0","0","79.444","0","11.159","12.285","181.923","2","0","0","63.793","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Young women","Somewhat agree","Strongly disagree","Strongly disagree","Somewhat agree","Somewhat disagree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Strongly agree","Dog","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Strongly disagree","Somewhat disagree","Strongly disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Strongly disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Strongly agree","Somewhat agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Strongly disagree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Neither agree nor disagree","Somewhat disagree","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat agree","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat agree","Often","Sometimes","Rarely","Sometimes","Sometimes","Rarely","Often","Strongly disagree","Strongly disagree","Somewhat disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Maybe","Once in a month","Maybe","No","","No","","Definitely created by a real human","Caucasian or White","","Catholicism/Christianity","","English","","Never married","$36,000 or more","Master's degree","Woman (including Trans Female/Trans Woman)","23"
"2025-10-28 11:36:37","2025-10-28 11:56:43","IP Address","100","1205","True","2025-10-28 11:56:43",8,"EN","California","","I have read and understood the consent form.","I agree to participate in this study","I confirm I am 18 years old or older","Very slightly or not at all","Moderately","Very slightly or not at all","Moderately","Very slightly or not at all","Very slightly or not at all","A little","A little","Very slightly or not at all","Very slightly or not at all","Extremely","Moderately","Very slightly or not at all","Very slightly or not at all","A little","Very slightly or not at all","Moderately","Moderately","Very slightly or not at all","A little","","","","","","","","","","","","","","","","","","","","","","","","","0","0","33.153","0","0","0","31.509","0","0","0","25.765","0","0","0","26.556","0","0","0","53.39","0","0","0","44.998","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Young women","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly disagree","Somewhat agree","Strongly disagree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Dog","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Somewhat disagree","Strongly disagree","Strongly agree","Somewhat disagree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat disagree","Strongly disagree","Strongly disagree","Somewhat disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Often","Rarely","Never","Often","Never","Never","Rarely","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly disagree","Strongly disagree","Strongly disagree","Yes","Once in a week","Maybe","No","","No","","Probably created by a real human","Caucasian or White","","Atheist","","English","","Never married","Less than $12,000","Associate degree","Woman (including Trans Female/Trans Woman)","25"
"2025-10-28 11:26:09","2025-10-28 12:01:30","IP Address","100","2120","True","2025-10-28 12:01:30",9,"EN","California","","I have read and understood the consent form.","I agree to participate in this study","I confirm I am 18 years old or older","Quite a bit","Very slightly or not at all","A little","Very slightly or not at all","Moderately","Very slightly or not at all","Very slightly or not at all","Very slightly or not at all","A little","Very slightly or not at all","Very slightly or not at all","Quite a bit","Very slightly or not at all","Moderately","Very slightly or not at all","A little","Quite a bit","Very slightly or not at all","Very slightly or not at all","Very slightly or not at all","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.251","95.305","96.258","5","1.55","41.001","41.977","3","1.277","47.265","48.401","3","1.455","38.607","39.297","3","15.318","127.626","128.186","6","1.33","39.2","39.64","4","They can satisfy cravings and help mentally to eat something rather than restrict it.","Young women","Somewhat agree","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Strongly agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Strongly disagree","Strongly disagree","Somewhat agree","Neither agree nor disagree","Dog","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat agree","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat disagree","Strongly disagree","Strongly disagree","Somewhat disagree","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat disagree","Strongly disagree","Somewhat agree","Rarely","Rarely","Never","Sometimes","Sometimes","Rarely","Rarely","Somewhat agree","Strongly disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Strongly disagree","Strongly disagree","Strongly disagree","Yes","Once in a few weeks","No","No","","No","","Definitely created using AI","Hispanic or Latino","","Catholicism/Christianity","","English","","Never married","$12,000 - $23,999","High school degree or equivalent (e.g., GED)","Woman (including Trans Female/Trans Woman)","22"
